County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,358,343,15,5492,5835,7-7-2020,7-6-2020,93
ALLEGHENY,42003,SW,3979,3798,181,65264,69062,7-7-2020,7-6-2020,2390
ARMSTRONG,42005,SW,79,79,0,2390,2469,7-7-2020,7-6-2020,72
BEAVER,42007,SW,770,748,22,6942,7690,7-7-2020,7-6-2020,290
BEDFORD,42009,SC,90,83,7,1713,1796,7-7-2020,7-6-2020,28
BERKS,42011,SE,4606,4450,156,20869,25319,7-7-2020,7-6-2020,366
BLAIR,42013,SC,89,78,11,6435,6513,7-7-2020,7-6-2020,277
BRADFORD,42015,NC,59,52,7,3836,3888,7-7-2020,7-6-2020,53
BUCKS,42017,SE,5948,5406,542,39972,45378,7-7-2020,7-6-2020,799
BUTLER,42019,SW,370,334,36,7713,8047,7-7-2020,7-6-2020,287
CAMBRIA,42021,SW,104,83,21,9192,9275,7-7-2020,7-6-2020,756
CAMERON,42023,NW,4,4,0,283,287,7-7-2020,7-6-2020,6
CARBON,42025,NE,288,284,4,4507,4791,7-7-2020,7-6-2020,49
CENTRE,42027,NC,230,214,16,4948,5162,7-7-2020,7-6-2020,84
CHESTER,42029,SE,3863,3653,210,29482,33135,7-7-2020,7-6-2020,447
CLARION,42031,NW,48,46,2,1078,1124,7-7-2020,7-6-2020,1
CLEARFIELD,42033,NW,79,61,18,2622,2683,7-7-2020,7-6-2020,52
CLINTON,42035,NC,81,71,10,1487,1558,7-7-2020,7-6-2020,14
COLUMBIA,42037,NC,412,389,23,3353,3742,7-7-2020,7-6-2020,37
CRAWFORD,42039,NW,72,58,14,2805,2863,7-7-2020,7-6-2020,25
CUMBERLAND,42041,SC,902,860,42,12428,13288,7-7-2020,7-6-2020,282
DAUPHIN,42043,SC,2220,2159,61,19227,21386,7-7-2020,7-6-2020,396
DELAWARE,42045,SE,7384,7158,226,40036,47194,7-7-2020,7-6-2020,688
ELK,42047,NW,24,21,3,1265,1286,7-7-2020,7-6-2020,159
ERIE,42049,NW,679,585,94,12525,13110,7-7-2020,7-6-2020,267
FAYETTE,42051,SW,149,144,5,5501,5645,7-7-2020,7-6-2020,76
FOREST,42053,NW,7,5,2,291,296,7-7-2020,7-6-2020,1
FRANKLIN,42055,SC,970,941,29,9090,10031,7-7-2020,7-6-2020,193
FULTON,42057,SC,18,16,2,545,561,7-7-2020,7-6-2020,25
GREENE,42059,SW,50,46,4,1441,1487,7-7-2020,7-6-2020,31
HUNTINGDON,42061,SC,254,247,7,1753,2000,7-7-2020,7-6-2020,45
INDIANA,42063,SW,116,108,8,3610,3718,7-7-2020,7-6-2020,251
JEFFERSON,42065,NW,30,27,3,1302,1329,7-7-2020,7-6-2020,22
JUNIATA,42067,SC,114,107,7,934,1041,7-7-2020,7-6-2020,9
LACKAWANNA,42069,NE,1740,1682,58,12685,14367,7-7-2020,7-6-2020,228
LANCASTER,42071,SE,4623,4524,99,32935,37459,7-7-2020,7-6-2020,378
LAWRENCE,42073,NW,129,112,17,2999,3111,7-7-2020,7-6-2020,64
LEBANON,42075,SC,1389,1331,58,9123,10454,7-7-2020,7-6-2020,52
LEHIGH,42077,NE,4334,4283,51,26363,30646,7-7-2020,7-6-2020,433
LUZERNE,42079,NE,2964,2908,56,21153,24061,7-7-2020,7-6-2020,322
LYCOMING,42081,NC,217,205,12,4835,5040,7-7-2020,7-6-2020,64
MCKEAN,42083,NW,20,12,8,2088,2100,7-7-2020,7-6-2020,172
MERCER,42085,NW,159,138,21,4839,4977,7-7-2020,7-6-2020,95
MIFFLIN,42087,SC,66,62,4,2633,2695,7-7-2020,7-6-2020,17
MONROE,42089,NE,1444,1401,43,11200,12601,7-7-2020,7-6-2020,233
MONTGOMERY,42091,SE,8682,8667,15,63946,72613,7-7-2020,7-6-2020,926
MONTOUR,42093,NC,76,68,8,4621,4689,7-7-2020,7-6-2020,30
NORTHAMPTON,42095,NE,3485,3377,108,25426,28803,7-7-2020,7-6-2020,476
NORTHUMBERLAND,42097,NC,328,297,31,4016,4313,7-7-2020,7-6-2020,209
PERRY,42099,SC,88,81,7,1803,1884,7-7-2020,7-6-2020,44
PHILADELPHIA,42101,SE,22302,22294,8,115399,137693,7-7-2020,7-6-2020,2727
PIKE,42103,NE,504,479,25,3228,3707,7-7-2020,7-6-2020,37
POTTER,42105,NC,17,14,3,332,346,7-7-2020,7-6-2020,16
SCHUYLKILL,42107,SE,759,732,27,8606,9338,7-7-2020,7-6-2020,101
SNYDER,42109,NC,68,57,11,986,1043,7-7-2020,7-6-2020,12
SOMERSET,42111,SW,64,54,10,3859,3913,7-7-2020,7-6-2020,25
SULLIVAN,42113,NC,10,5,5,204,209,7-7-2020,7-6-2020,3
SUSQUEHANNA,42115,NE,190,184,6,1933,2117,7-7-2020,7-6-2020,88
TIOGA,42117,NC,27,21,6,1229,1250,7-7-2020,7-6-2020,30
UNION,42119,NC,96,87,9,2686,2773,7-7-2020,7-6-2020,9
VENANGO,42121,NW,28,17,11,1378,1395,7-7-2020,7-6-2020,5
WARREN,42123,NW,7,5,2,772,777,7-7-2020,7-6-2020,2
WASHINGTON,42125,SW,339,326,13,9307,9633,7-7-2020,7-6-2020,349
WAYNE,42127,NE,141,133,8,2617,2750,7-7-2020,7-6-2020,34
WESTMORELAND,42129,SW,863,834,29,20076,20910,7-7-2020,7-6-2020,510
WYOMING,42131,NE,40,38,2,1195,1233,7-7-2020,7-6-2020,10
YORK,42133,SC,1654,1605,49,24000,25605,7-7-2020,7-6-2020,497
