County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,385,372,13,6139,6511,7-11-2020,7-10-2020,109
ALLEGHENY,42003,SW,4762,4571,191,72317,76888,7-11-2020,7-10-2020,1871
ARMSTRONG,42005,SW,84,84,0,2610,2694,7-11-2020,7-10-2020,26
BEAVER,42007,SW,823,798,25,7776,8574,7-11-2020,7-10-2020,78
BEDFORD,42009,SC,92,85,7,1925,2010,7-11-2020,7-10-2020,59
BERKS,42011,SE,4680,4522,158,22069,26591,7-11-2020,7-10-2020,310
BLAIR,42013,SC,102,91,11,7005,7096,7-11-2020,7-10-2020,154
BRADFORD,42015,NC,59,52,7,3951,4003,7-11-2020,7-10-2020,42
BUCKS,42017,SE,6064,5518,546,42476,47994,7-11-2020,7-10-2020,507
BUTLER,42019,SW,410,370,40,8368,8738,7-11-2020,7-10-2020,157
CAMBRIA,42021,SW,132,111,21,10125,10236,7-11-2020,7-10-2020,171
CAMERON,42023,NW,4,4,0,288,292,7-11-2020,7-10-2020,0
CARBON,42025,NE,297,293,4,4775,5068,7-11-2020,7-10-2020,47
CENTRE,42027,NC,241,225,16,5576,5801,7-11-2020,7-10-2020,241
CHESTER,42029,SE,3992,3778,214,31886,35664,7-11-2020,7-10-2020,766
CLARION,42031,NW,60,57,3,1171,1228,7-11-2020,7-10-2020,51
CLEARFIELD,42033,NW,85,67,18,2829,2896,7-11-2020,7-10-2020,56
CLINTON,42035,NC,95,83,12,1755,1838,7-11-2020,7-10-2020,26
COLUMBIA,42037,NC,419,395,24,3614,4009,7-11-2020,7-10-2020,71
CRAWFORD,42039,NW,77,61,16,3499,3560,7-11-2020,7-10-2020,131
CUMBERLAND,42041,SC,935,891,44,13447,14338,7-11-2020,7-10-2020,200
DAUPHIN,42043,SC,2279,2216,63,20689,22905,7-11-2020,7-10-2020,232
DELAWARE,42045,SE,7513,7286,227,42928,50214,7-11-2020,7-10-2020,441
ELK,42047,NW,29,25,4,1339,1364,7-11-2020,7-10-2020,23
ERIE,42049,NW,707,604,103,13199,13803,7-11-2020,7-10-2020,330
FAYETTE,42051,SW,194,185,9,6028,6213,7-11-2020,7-10-2020,174
FOREST,42053,NW,7,5,2,317,322,7-11-2020,7-10-2020,1
FRANKLIN,42055,SC,997,966,31,9624,10590,7-11-2020,7-10-2020,68
FULTON,42057,SC,19,17,2,576,593,7-11-2020,7-10-2020,1
