County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
GREENE,42059,SW,67,59,8,1593,1652,7-11-2020,7-10-2020,53
HUNTINGDON,42061,SC,257,250,7,1872,2122,7-11-2020,7-10-2020,30
INDIANA,42063,SW,141,132,9,3831,3963,7-11-2020,7-10-2020,41
JEFFERSON,42065,NW,37,31,6,1395,1426,7-11-2020,7-10-2020,21
JUNIATA,42067,SC,116,109,7,1001,1110,7-11-2020,7-10-2020,25
LACKAWANNA,42069,NE,1756,1698,58,13591,15289,7-11-2020,7-10-2020,219
LANCASTER,42071,SE,4816,4715,101,35343,40058,7-11-2020,7-10-2020,381
LAWRENCE,42073,NW,171,148,23,3477,3625,7-11-2020,7-10-2020,182
LEBANON,42075,SC,1429,1372,57,9732,11104,7-11-2020,7-10-2020,127
LEHIGH,42077,NE,4424,4373,51,28579,32952,7-11-2020,7-10-2020,757
LUZERNE,42079,NE,3002,2944,58,22950,25894,7-11-2020,7-10-2020,361
LYCOMING,42081,NC,240,225,15,5344,5569,7-11-2020,7-10-2020,69
MCKEAN,42083,NW,20,12,8,2216,2228,7-11-2020,7-10-2020,15
MERCER,42085,NW,166,145,21,5183,5328,7-11-2020,7-10-2020,160
MIFFLIN,42087,SC,72,67,5,2974,3041,7-11-2020,7-10-2020,85
MONROE,42089,NE,1470,1427,43,12019,13446,7-11-2020,7-10-2020,202
MONTGOMERY,42091,SE,8828,8813,15,67389,76202,7-11-2020,7-10-2020,915
MONTOUR,42093,NC,77,69,8,4837,4906,7-11-2020,7-10-2020,70
NORTHAMPTON,42095,NE,3546,3434,112,27255,30689,7-11-2020,7-10-2020,436
NORTHUMBERLAND,42097,NC,343,310,33,4318,4628,7-11-2020,7-10-2020,97
PERRY,42099,SC,91,84,7,1942,2026,7-11-2020,7-10-2020,26
PHILADELPHIA,42101,SE,22840,22832,8,122951,145783,7-11-2020,7-10-2020,1431
PIKE,42103,NE,504,479,25,3399,3878,7-11-2020,7-10-2020,43
POTTER,42105,NC,18,15,3,355,370,7-11-2020,7-10-2020,9
SCHUYLKILL,42107,SE,773,744,29,9181,9925,7-11-2020,7-10-2020,153
SNYDER,42109,NC,72,61,11,1050,1111,7-11-2020,7-10-2020,15
SOMERSET,42111,SW,76,66,10,4150,4216,7-11-2020,7-10-2020,54
SULLIVAN,42113,NC,10,5,5,215,220,7-11-2020,7-10-2020,1
SUSQUEHANNA,42115,NE,193,187,6,2048,2235,7-11-2020,7-10-2020,29
TIOGA,42117,NC,29,23,6,1341,1364,7-11-2020,7-10-2020,53
UNION,42119,NC,98,88,10,2968,3056,7-11-2020,7-10-2020,97
VENANGO,42121,NW,35,22,13,1623,1645,7-11-2020,7-10-2020,41
WARREN,42123,NW,9,5,4,815,820,7-11-2020,7-10-2020,11
WASHINGTON,42125,SW,430,413,17,10416,10829,7-11-2020,7-10-2020,331
WAYNE,42127,NE,141,134,7,2810,2944,7-11-2020,7-10-2020,46
WESTMORELAND,42129,SW,975,949,26,21786,22735,7-11-2020,7-10-2020,385
WYOMING,42131,NE,44,41,3,1299,1340,7-11-2020,7-10-2020,25
YORK,42133,SC,1830,1788,42,26085,27873,7-11-2020,7-10-2020,326
