County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,366,353,13,5755,6108,7-9-2020,7-8-2020,105
ALLEGHENY,42003,SW,4367,4180,187,68866,73046,7-9-2020,7-8-2020,1668
ARMSTRONG,42005,SW,80,80,0,2556,2636,7-9-2020,7-8-2020,41
BEAVER,42007,SW,796,773,23,7441,8214,7-9-2020,7-8-2020,73
BEDFORD,42009,SC,91,84,7,1820,1904,7-9-2020,7-8-2020,34
BERKS,42011,SE,4647,4491,156,21438,25929,7-9-2020,7-8-2020,346
BLAIR,42013,SC,93,82,11,6686,6768,7-9-2020,7-8-2020,139
BRADFORD,42015,NC,59,52,7,3875,3927,7-9-2020,7-8-2020,15
BUCKS,42017,SE,6003,5457,546,41139,46596,7-9-2020,7-8-2020,656
BUTLER,42019,SW,396,357,39,8108,8465,7-9-2020,7-8-2020,149
CAMBRIA,42021,SW,113,91,22,9640,9731,7-9-2020,7-8-2020,136
CAMERON,42023,NW,4,4,0,284,288,7-9-2020,7-8-2020,0
CARBON,42025,NE,293,289,4,4635,4924,7-9-2020,7-8-2020,50
CENTRE,42027,NC,235,219,16,5124,5343,7-9-2020,7-8-2020,85
CHESTER,42029,SE,3918,3707,211,30533,34240,7-9-2020,7-8-2020,550
CLARION,42031,NW,49,47,2,1102,1149,7-9-2020,7-8-2020,9
CLEARFIELD,42033,NW,82,63,19,2717,2780,7-9-2020,7-8-2020,30
CLINTON,42035,NC,91,79,12,1606,1685,7-9-2020,7-8-2020,102
COLUMBIA,42037,NC,416,392,24,3464,3856,7-9-2020,7-8-2020,42
CRAWFORD,42039,NW,76,60,16,3063,3123,7-9-2020,7-8-2020,138
CUMBERLAND,42041,SC,922,880,42,13026,13906,7-9-2020,7-8-2020,380
DAUPHIN,42043,SC,2247,2186,61,19883,22069,7-9-2020,7-8-2020,301
DELAWARE,42045,SE,7447,7220,227,41544,48764,7-9-2020,7-8-2020,600
ELK,42047,NW,29,25,4,1297,1322,7-9-2020,7-8-2020,8
ERIE,42049,NW,699,600,99,12789,13389,7-9-2020,7-8-2020,130
