County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
FAYETTE,42051,SW,163,158,5,5732,5890,7-9-2020,7-8-2020,55
FOREST,42053,NW,7,5,2,310,315,7-9-2020,7-8-2020,0
FRANKLIN,42055,SC,989,958,31,9411,10369,7-9-2020,7-8-2020,140
FULTON,42057,SC,19,17,2,563,580,7-9-2020,7-8-2020,11
GREENE,42059,SW,56,50,6,1503,1553,7-9-2020,7-8-2020,41
HUNTINGDON,42061,SC,254,247,7,1806,2053,7-9-2020,7-8-2020,20
INDIANA,42063,SW,121,112,9,3704,3816,7-9-2020,7-8-2020,50
JEFFERSON,42065,NW,34,29,5,1339,1368,7-9-2020,7-8-2020,20
JUNIATA,42067,SC,114,107,7,963,1070,7-9-2020,7-8-2020,12
LACKAWANNA,42069,NE,1749,1691,58,13111,14802,7-9-2020,7-8-2020,199
LANCASTER,42071,SE,4711,4609,102,34206,38815,7-9-2020,7-8-2020,506
LAWRENCE,42073,NW,146,124,22,3152,3276,7-9-2020,7-8-2020,73
LEBANON,42075,SC,1404,1347,57,9378,10725,7-9-2020,7-8-2020,139
LEHIGH,42077,NE,4370,4319,51,27246,31565,7-9-2020,7-8-2020,526
LUZERNE,42079,NE,2979,2923,56,21944,24867,7-9-2020,7-8-2020,457
LYCOMING,42081,NC,234,220,14,5163,5383,7-9-2020,7-8-2020,96
MCKEAN,42083,NW,20,12,8,2148,2160,7-9-2020,7-8-2020,44
MERCER,42085,NW,161,140,21,4949,5089,7-9-2020,7-8-2020,55
MIFFLIN,42087,SC,70,64,6,2732,2796,7-9-2020,7-8-2020,59
MONROE,42089,NE,1456,1413,43,11571,12984,7-9-2020,7-8-2020,205
MONTGOMERY,42091,SE,8749,8733,16,65591,74324,7-9-2020,7-8-2020,698
MONTOUR,42093,NC,76,68,8,4724,4792,7-9-2020,7-8-2020,56
NORTHAMPTON,42095,NE,3513,3403,110,26320,29723,7-9-2020,7-8-2020,459
NORTHUMBERLAND,42097,NC,339,305,34,4146,4451,7-9-2020,7-8-2020,63
PERRY,42099,SC,89,82,7,1862,1944,7-9-2020,7-8-2020,32
PHILADELPHIA,42101,SE,22553,22545,8,119745,142290,7-9-2020,7-8-2020,2311
PIKE,42103,NE,504,479,25,3312,3791,7-9-2020,7-8-2020,43
POTTER,42105,NC,17,14,3,338,352,7-9-2020,7-8-2020,5
SCHUYLKILL,42107,SE,765,736,29,8864,9600,7-9-2020,7-8-2020,147
SNYDER,42109,NC,72,61,11,1023,1084,7-9-2020,7-8-2020,18
SOMERSET,42111,SW,69,59,10,3975,4034,7-9-2020,7-8-2020,39
SULLIVAN,42113,NC,10,5,5,211,216,7-9-2020,7-8-2020,2
SUSQUEHANNA,42115,NE,190,184,6,1984,2168,7-9-2020,7-8-2020,31
TIOGA,42117,NC,27,21,6,1277,1298,7-9-2020,7-8-2020,24
UNION,42119,NC,97,88,9,2833,2921,7-9-2020,7-8-2020,68
VENANGO,42121,NW,35,20,15,1471,1491,7-9-2020,7-8-2020,56
WARREN,42123,NW,7,5,2,790,795,7-9-2020,7-8-2020,8
WASHINGTON,42125,SW,366,350,16,9695,10045,7-9-2020,7-8-2020,190
WAYNE,42127,NE,141,133,8,2704,2837,7-9-2020,7-8-2020,30
WESTMORELAND,42129,SW,917,890,27,20928,21818,7-9-2020,7-8-2020,363
WYOMING,42131,NE,41,39,2,1238,1277,7-9-2020,7-8-2020,25
YORK,42133,SC,1714,1666,48,24803,26469,7-9-2020,7-8-2020,302
