County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,341,330,11,5119,5449,7-1-2020,7-1-2020,0
ALLEGHENY,42003,SW,2870,2722,148,55605,58327,7-1-2020,7-1-2020,0
ARMSTRON,42005,SW,76,76,0,2166,2242,7-1-2020,7-1-2020,0
BEAVER,42007,SW,678,658,20,6260,6918,7-1-2020,7-1-2020,0
BEDFORD,42009,SC,87,79,8,1527,1606,7-1-2020,7-1-2020,0
BERKS,42011,SE,4559,4402,157,19594,23996,7-1-2020,7-1-2020,0
BLAIR,42013,SC,72,66,6,5695,5761,7-1-2020,7-1-2020,0
BRADFORD,42015,NC,58,52,6,3570,3622,7-1-2020,7-1-2020,0
BUCKS,42017,SE,5777,5238,539,36565,41803,7-1-2020,7-1-2020,0
BUTLER,42019,SW,311,278,33,6864,7142,7-1-2020,7-1-2020,0
CAMBRIA,42021,SW,83,63,20,7790,7853,7-1-2020,7-1-2020,0
CAMERON,42023,NW,3,3,0,264,267,7-1-2020,7-1-2020,0
CARBON,42025,NE,280,276,4,4231,4507,7-1-2020,7-1-2020,0
CENTRE,42027,NC,205,191,14,4322,4513,7-1-2020,7-1-2020,0
CHESTER,42029,SE,3731,3520,211,26794,30314,7-1-2020,7-1-2020,0
CLARION,42031,NW,35,35,0,999,1034,7-1-2020,7-1-2020,0
CLEARFIELD,42033,NW,72,54,18,2337,2391,7-1-2020,7-1-2020,0
CLINTON,42035,NC,80,70,10,1382,1452,7-1-2020,7-1-2020,0
COLUMBIA,42037,NC,403,380,23,3106,3486,7-1-2020,7-1-2020,0
CRAWFORD,42039,NW,57,44,13,2514,2558,7-1-2020,7-1-2020,0
CUMBERLA,42041,DSC,856,819,37,11394,12213,7-1-2020,7-1-2020,0
DAUPHIN,42043,SC,2059,2004,55,17803,19807,7-1-2020,7-1-2020,0
DELAWARE,42045,SE,7230,7005,225,37116,44121,7-1-2020,7-1-2020,0
ELK,42047,NW,15,12,3,973,985,7-1-2020,7-1-2020,0
ERIE,42049,NW,620,535,85,11676,12211,7-1-2020,7-1-2020,0
FAYETTE,42051,SW,117,111,6,4921,5032,7-1-2020,7-1-2020,0
FOREST,42053,NW,7,5,2,246,251,7-1-2020,7-1-2020,0
FRANKLIN,42055,SC,940,912,28,8613,9525,7-1-2020,7-1-2020,0
FULTON,42057,SC,18,16,2,498,514,7-1-2020,7-1-2020,0
GREENE,42059,SW,41,38,3,1252,1290,7-1-2020,7-1-2020,0
HUNTINGD,42061,NSC,252,245,7,1609,1854,7-1-2020,7-1-2020,0
INDIANA,42063,SW,111,102,9,2966,3068,7-1-2020,7-1-2020,0
JEFFERSON,42065,NW,24,21,3,1119,1140,7-1-2020,7-1-2020,0
JUNIATA,42067,SC,111,104,7,854,958,7-1-2020,7-1-2020,0
LACKAWAN,42069,NAE,1707,1649,58,11553,13202,7-1-2020,7-1-2020,0
