County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
LANCASTER,42071,SE,4464,4371,93,30382,34753,7-1-2020,7-1-2020,0
LAWRENCE,42073,NW,103,91,12,2693,2784,7-1-2020,7-1-2020,0
LEBANON,42075,SC,1350,1291,59,8624,9915,7-1-2020,7-1-2020,0
LEHIGH,42077,NE,4258,4208,50,24386,28594,7-1-2020,7-1-2020,0
LUZERNE,42079,NE,2915,2866,49,19581,22447,7-1-2020,7-1-2020,0
LYCOMING,42081,NC,187,182,5,4142,4324,7-1-2020,7-1-2020,0
MCKEAN,42083,NW,18,10,8,1514,1524,7-1-2020,7-1-2020,0
MERCER,42085,NW,140,121,19,4217,4338,7-1-2020,7-1-2020,0
MIFFLIN,42087,SC,63,60,3,2453,2513,7-1-2020,7-1-2020,0
MONROE,42089,NE,1423,1381,42,10455,11836,7-1-2020,7-1-2020,0
MONTGOM,42091,RSYE,8483,8468,15,58772,67240,7-1-2020,7-1-2020,0
MONTOUR,42093,NC,74,66,8,4379,4445,7-1-2020,7-1-2020,0
NORTHAMP,42095,NOEN,3425,3323,102,23723,27046,7-1-2020,7-1-2020,0
NORTHUMB,42097,NRCLAND,314,285,29,3497,3782,7-1-2020,7-1-2020,0
PERRY,42099,SC,86,79,7,1593,1672,7-1-2020,7-1-2020,0
PHILADELPHI,42101,SE,21724,21716,8,105490,127206,7-1-2020,7-1-2020,0
PIKE,42103,NE,496,471,25,3064,3535,7-1-2020,7-1-2020,0
POTTER,42105,NC,16,12,4,300,312,7-1-2020,7-1-2020,0
SCHUYLKILL,42107,SE,747,720,27,7916,8636,7-1-2020,7-1-2020,0
SNYDER,42109,NC,66,55,11,909,964,7-1-2020,7-1-2020,0
SOMERSET,42111,SW,61,51,10,3624,3675,7-1-2020,7-1-2020,0
SULLIVAN,42113,NC,5,4,1,182,186,7-1-2020,7-1-2020,0
SUSQUEHA,42115,NAE,182,176,6,1721,1897,7-1-2020,7-1-2020,0
TIOGA,42117,NC,25,19,6,1141,1160,7-1-2020,7-1-2020,0
UNION,42119,NC,91,83,8,2343,2426,7-1-2020,7-1-2020,0
VENANGO,42121,NW,19,15,4,1200,1215,7-1-2020,7-1-2020,0
WARREN,42123,NW,7,5,2,695,700,7-1-2020,7-1-2020,0
WASHINGT,42125,NSW,230,217,13,7823,8040,7-1-2020,7-1-2020,0
WAYNE,42127,NE,140,131,9,2428,2559,7-1-2020,7-1-2020,0
WESTMORE,42129,ASWND,675,648,27,17698,18346,7-1-2020,7-1-2020,0
WYOMING,42131,NE,38,36,2,1098,1134,7-1-2020,7-1-2020,0
YORK,42133,SC,1531,1475,56,22222,23697,7-1-2020,7-1-2020,0
