County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,352,336,16,5406,5742,7-6-2020,7-5-2020,19
ALLEGHENY,42003,SW,3775,3595,180,63077,66672,7-6-2020,7-5-2020,1887
ARMSTRONG,42005,SW,78,78,0,2319,2397,7-6-2020,7-5-2020,28
BEAVER,42007,SW,742,720,22,6680,7400,7-6-2020,7-5-2020,75
BEDFORD,42009,SC,89,82,7,1686,1768,7-6-2020,7-5-2020,18
BERKS,42011,SE,4581,4425,156,20528,24953,7-6-2020,7-5-2020,141
BLAIR,42013,SC,87,76,11,6160,6236,7-6-2020,7-5-2020,41
BRADFORD,42015,NC,56,50,6,3785,3835,7-6-2020,7-5-2020,105
BUCKS,42017,SE,5912,5370,542,39209,44579,7-6-2020,7-5-2020,551
BUTLER,42019,SW,356,320,36,7440,7760,7-6-2020,7-5-2020,122
CAMBRIA,42021,SW,98,77,21,8442,8519,7-6-2020,7-5-2020,119
CAMERON,42023,NW,4,4,0,277,281,7-6-2020,7-5-2020,0
CARBON,42025,NE,287,283,4,4459,4742,7-6-2020,7-5-2020,30
CENTRE,42027,NC,228,212,16,4866,5078,7-6-2020,7-5-2020,78
CHESTER,42029,SE,3839,3629,210,29059,32688,7-6-2020,7-5-2020,326
CLARION,42031,NW,48,46,2,1077,1123,7-6-2020,7-5-2020,9
CLEARFIELD,42033,NW,75,58,17,2573,2631,7-6-2020,7-5-2020,55
CLINTON,42035,NC,81,71,10,1473,1544,7-6-2020,7-5-2020,5
COLUMBIA,42037,NC,411,388,23,3317,3705,7-6-2020,7-5-2020,11
CRAWFORD,42039,NW,70,57,13,2781,2838,7-6-2020,7-5-2020,33
CUMBERLAND,42041,SC,894,852,42,12154,13006,7-6-2020,7-5-2020,87
DAUPHIN,42043,SC,2198,2138,60,18852,20990,7-6-2020,7-5-2020,70
DELAWARE,42045,SE,7349,7124,225,39382,46506,7-6-2020,7-5-2020,284
ELK,42047,NW,20,17,3,1110,1127,7-6-2020,7-5-2020,25
ERIE,42049,NW,661,567,94,12276,12843,7-6-2020,7-5-2020,81
FAYETTE,42051,SW,147,142,5,5427,5569,7-6-2020,7-5-2020,152
FOREST,42053,NW,7,5,2,290,295,7-6-2020,7-5-2020,15
FRANKLIN,42055,SC,958,929,29,8909,9838,7-6-2020,7-5-2020,10
FULTON,42057,SC,18,16,2,520,536,7-6-2020,7-5-2020,1
GREENE,42059,SW,47,44,3,1412,1456,7-6-2020,7-5-2020,57
HUNTINGDON,42061,SC,254,247,7,1708,1955,7-6-2020,7-5-2020,11
INDIANA,42063,SW,114,106,8,3361,3467,7-6-2020,7-5-2020,105
JEFFERSON,42065,NW,30,27,3,1280,1307,7-6-2020,7-5-2020,27
JUNIATA,42067,SC,113,106,7,926,1032,7-6-2020,7-5-2020,6
LACKAWANNA,42069,NE,1734,1675,59,12464,14139,7-6-2020,7-5-2020,71
LANCASTER,42071,SE,4602,4503,99,32578,37081,7-6-2020,7-5-2020,593
LAWRENCE,42073,NW,124,109,15,2938,3047,7-6-2020,7-5-2020,66
LEBANON,42075,SC,1383,1326,57,9076,10402,7-6-2020,7-5-2020,28
LEHIGH,42077,NE,4317,4266,51,25947,30213,7-6-2020,7-5-2020,153
LUZERNE,42079,NE,2958,2902,56,20837,23739,7-6-2020,7-5-2020,130
LYCOMING,42081,NC,214,202,12,4774,4976,7-6-2020,7-5-2020,15
MCKEAN,42083,NW,20,12,8,1916,1928,7-6-2020,7-5-2020,20
MERCER,42085,NW,158,137,21,4745,4882,7-6-2020,7-5-2020,192
MIFFLIN,42087,SC,65,61,4,2617,2678,7-6-2020,7-5-2020,26
MONROE,42089,NE,1439,1396,43,10972,12368,7-6-2020,7-5-2020,68
MONTGOMERY,42091,SE,8634,8619,15,63068,71687,7-6-2020,7-5-2020,616
MONTOUR,42093,NC,76,67,9,4592,4659,7-6-2020,7-5-2020,21
NORTHAMPTON,42095,NE,3475,3367,108,24960,28327,7-6-2020,7-5-2020,161
NORTHUMBERLAND,42097,NC,327,296,31,3808,4104,7-6-2020,7-5-2020,62
PERRY,42099,SC,86,79,7,1761,1840,7-6-2020,7-5-2020,12
PHILADELPHIA,42101,SE,22014,22006,8,112960,134966,7-6-2020,7-5-2020,778
PIKE,42103,NE,503,478,25,3192,3670,7-6-2020,7-5-2020,19
POTTER,42105,NC,17,14,3,316,330,7-6-2020,7-5-2020,3
SCHUYLKILL,42107,SE,755,728,27,8509,9237,7-6-2020,7-5-2020,61
SNYDER,42109,NC,68,57,11,974,1031,7-6-2020,7-5-2020,2
SOMERSET,42111,SW,64,54,10,3834,3888,7-6-2020,7-5-2020,24
SULLIVAN,42113,NC,10,5,5,201,206,7-6-2020,7-5-2020,2
SUSQUEHANNA,42115,NE,186,179,7,1850,2029,7-6-2020,7-5-2020,11
TIOGA,42117,NC,27,21,6,1199,1220,7-6-2020,7-5-2020,18
UNION,42119,NC,95,86,9,2678,2764,7-6-2020,7-5-2020,4
VENANGO,42121,NW,27,17,10,1373,1390,7-6-2020,7-5-2020,9
WARREN,42123,NW,7,5,2,770,775,7-6-2020,7-5-2020,18
WASHINGTON,42125,SW,318,305,13,8979,9284,7-6-2020,7-5-2020,280
WAYNE,42127,NE,141,133,8,2583,2716,7-6-2020,7-5-2020,20
WESTMORELAND,42129,SW,828,801,27,19599,20400,7-6-2020,7-5-2020,410
WYOMING,42131,NE,40,38,2,1185,1223,7-6-2020,7-5-2020,6
YORK,42133,SC,1613,1564,49,23544,25108,7-6-2020,7-5-2020,129
