County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
LANCASTER,42071,SE,4951,4842,109,38491,43333,7-16-2020,7-15-2020,678
LAWRENCE,42073,NW,209,184,25,3845,4029,7-16-2020,7-15-2020,57
LEBANON,42075,SC,1481,1418,63,10293,11711,7-16-2020,7-15-2020,110
LEHIGH,42077,NE,4495,4443,52,30740,35183,7-16-2020,7-15-2020,605
LUZERNE,42079,NE,3042,2980,62,24359,27339,7-16-2020,7-15-2020,256
LYCOMING,42081,NC,259,236,23,5934,6170,7-16-2020,7-15-2020,232
MCKEAN,42083,NW,20,12,8,2484,2496,7-16-2020,7-15-2020,46
MERCER,42085,NW,208,182,26,5924,6106,7-16-2020,7-15-2020,80
MIFFLIN,42087,SC,76,71,5,3172,3243,7-16-2020,7-15-2020,77
MONROE,42089,NE,1487,1444,43,12902,14346,7-16-2020,7-15-2020,259
MONTGOMERY,42091,SE,8999,8984,15,71412,80396,7-16-2020,7-15-2020,1160
MONTOUR,42093,NC,82,73,9,5161,5234,7-16-2020,7-15-2020,87
NORTHAMPTON,42095,NE,3601,3487,114,29131,32618,7-16-2020,7-15-2020,543
NORTHUMBERLAND,42097,NC,355,321,34,4858,5179,7-16-2020,7-15-2020,255
PERRY,42099,SC,96,88,8,2066,2154,7-16-2020,7-15-2020,27
PHILADELPHIA,42101,SE,23395,23387,8,131114,154501,7-16-2020,7-15-2020,2352
PIKE,42103,NE,509,484,25,3583,4067,7-16-2020,7-15-2020,38
POTTER,42105,NC,19,16,3,490,506,7-16-2020,7-15-2020,28
SCHUYLKILL,42107,SE,792,762,30,9784,10546,7-16-2020,7-15-2020,183
SNYDER,42109,NC,74,63,11,1137,1200,7-16-2020,7-15-2020,17
SOMERSET,42111,SW,88,78,10,4549,4627,7-16-2020,7-15-2020,62
SULLIVAN,42113,NC,10,5,5,227,232,7-16-2020,7-15-2020,3
SUSQUEHANNA,42115,NE,195,188,7,2197,2385,7-16-2020,7-15-2020,29
TIOGA,42117,NC,32,26,6,1643,1669,7-16-2020,7-15-2020,34
UNION,42119,NC,108,96,12,3464,3560,7-16-2020,7-15-2020,47
VENANGO,42121,NW,49,33,16,2051,2084,7-16-2020,7-15-2020,14
WARREN,42123,NW,11,5,6,889,894,7-16-2020,7-15-2020,12
WASHINGTON,42125,SW,518,499,19,11458,11957,7-16-2020,7-15-2020,230
WAYNE,42127,NE,144,137,7,2970,3107,7-16-2020,7-15-2020,25
WESTMORELAND,42129,SW,1089,1057,32,23469,24526,7-16-2020,7-15-2020,389
WYOMING,42131,NE,48,45,3,1393,1438,7-16-2020,7-15-2020,24
YORK,42133,SC,1942,1894,48,27632,29526,7-16-2020,7-15-2020,372
