County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,409,394,15,6690,7084,7-16-2020,7-15-2020,191
ALLEGHENY,42003,SW,5750,5558,192,82675,88233,7-16-2020,7-15-2020,1171
ARMSTRONG,42005,SW,96,96,0,2912,3008,7-16-2020,7-15-2020,34
BEAVER,42007,SW,893,866,27,8436,9302,7-16-2020,7-15-2020,75
BEDFORD,42009,SC,95,88,7,2061,2149,7-16-2020,7-15-2020,35
BERKS,42011,SE,4763,4603,160,23439,28042,7-16-2020,7-15-2020,371
BLAIR,42013,SC,118,107,11,7764,7871,7-16-2020,7-15-2020,121
BRADFORD,42015,NC,61,54,7,4279,4333,7-16-2020,7-15-2020,98
BUCKS,42017,SE,6228,5676,552,45666,51342,7-16-2020,7-15-2020,993
BUTLER,42019,SW,456,412,44,9349,9761,7-16-2020,7-15-2020,110
CAMBRIA,42021,SW,153,132,21,11277,11409,7-16-2020,7-15-2020,219
CAMERON,42023,NW,5,5,0,298,303,7-16-2020,7-15-2020,1
CARBON,42025,NE,309,305,4,5164,5469,7-16-2020,7-15-2020,146
CENTRE,42027,NC,262,240,22,6053,6293,7-16-2020,7-15-2020,135
CHESTER,42029,SE,4129,3913,216,34512,38425,7-16-2020,7-15-2020,442
CLARION,42031,NW,67,64,3,1460,1524,7-16-2020,7-15-2020,9
CLEARFIELD,42033,NW,96,74,22,3040,3114,7-16-2020,7-15-2020,68
CLINTON,42035,NC,100,88,12,1884,1972,7-16-2020,7-15-2020,37
COLUMBIA,42037,NC,427,403,24,3903,4306,7-16-2020,7-15-2020,81
CRAWFORD,42039,NW,104,87,17,3904,3991,7-16-2020,7-15-2020,172
CUMBERLAND,42041,SC,985,933,52,14352,15285,7-16-2020,7-15-2020,147
DAUPHIN,42043,SC,2342,2275,67,21750,24025,7-16-2020,7-15-2020,177
DELAWARE,42045,SE,7696,7467,229,46456,53923,7-16-2020,7-15-2020,653
ELK,42047,NW,32,27,5,1447,1474,7-16-2020,7-15-2020,27
ERIE,42049,NW,756,642,114,14275,14917,7-16-2020,7-15-2020,259
FAYETTE,42051,SW,223,215,8,6719,6934,7-16-2020,7-15-2020,162
FOREST,42053,NW,7,5,2,372,377,7-16-2020,7-15-2020,17
FRANKLIN,42055,SC,1033,997,36,10244,11241,7-16-2020,7-15-2020,126
FULTON,42057,SC,19,17,2,609,626,7-16-2020,7-15-2020,11
GREENE,42059,SW,77,70,7,1912,1982,7-16-2020,7-15-2020,47
HUNTINGDON,42061,SC,263,256,7,2120,2376,7-16-2020,7-15-2020,150
INDIANA,42063,SW,174,162,12,4212,4374,7-16-2020,7-15-2020,130
JEFFERSON,42065,NW,41,34,7,1518,1552,7-16-2020,7-15-2020,21
JUNIATA,42067,SC,116,109,7,1105,1214,7-16-2020,7-15-2020,28
LACKAWANNA,42069,NE,1777,1718,59,14516,16234,7-16-2020,7-15-2020,175
