County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,377,364,13,6038,6402,7-10-2020,7-9-2020,294
ALLEGHENY,42003,SW,4547,4360,187,70657,75017,7-10-2020,7-9-2020,1971
ARMSTRONG,42005,SW,84,84,0,2584,2668,7-10-2020,7-9-2020,32
BEAVER,42007,SW,809,785,24,7711,8496,7-10-2020,7-9-2020,282
BEDFORD,42009,SC,92,85,7,1866,1951,7-10-2020,7-9-2020,47
BERKS,42011,SE,4663,4507,156,21774,26281,7-10-2020,7-9-2020,352
BLAIR,42013,SC,99,88,11,6854,6942,7-10-2020,7-9-2020,174
BRADFORD,42015,NC,59,52,7,3909,3961,7-10-2020,7-9-2020,34
BUCKS,42017,SE,6030,5484,546,42003,47487,7-10-2020,7-9-2020,891
BUTLER,42019,SW,403,364,39,8217,8581,7-10-2020,7-9-2020,116
CAMBRIA,42021,SW,123,102,21,9963,10065,7-10-2020,7-9-2020,334
CAMERON,42023,NW,4,4,0,288,292,7-10-2020,7-9-2020,4
CARBON,42025,NE,296,292,4,4729,5021,7-10-2020,7-9-2020,97
CENTRE,42027,NC,239,223,16,5337,5560,7-10-2020,7-9-2020,217
CHESTER,42029,SE,3954,3743,211,31155,34898,7-10-2020,7-9-2020,658
CLARION,42031,NW,60,57,3,1120,1177,7-10-2020,7-9-2020,28
CLEARFIELD,42033,NW,85,65,20,2775,2840,7-10-2020,7-9-2020,60
CLINTON,42035,NC,95,83,12,1729,1812,7-10-2020,7-9-2020,127
COLUMBIA,42037,NC,417,393,24,3545,3938,7-10-2020,7-9-2020,82
CRAWFORD,42039,NW,77,60,17,3369,3429,7-10-2020,7-9-2020,306
CUMBERLAND,42041,SC,930,887,43,13251,14138,7-10-2020,7-9-2020,232
DAUPHIN,42043,SC,2268,2205,63,20468,22673,7-10-2020,7-9-2020,604
DELAWARE,42045,SE,7495,7268,227,42505,49773,7-10-2020,7-9-2020,1009
ELK,42047,NW,29,25,4,1316,1341,7-10-2020,7-9-2020,19
