County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ERIE,42049,NW,704,603,101,12870,13473,7-10-2020,7-9-2020,84
FAYETTE,42051,SW,178,173,5,5866,6039,7-10-2020,7-9-2020,149
FOREST,42053,NW,7,5,2,316,321,7-10-2020,7-9-2020,6
FRANKLIN,42055,SC,993,962,31,9560,10522,7-10-2020,7-9-2020,153
FULTON,42057,SC,19,17,2,575,592,7-10-2020,7-9-2020,12
GREENE,42059,SW,61,54,7,1545,1599,7-10-2020,7-9-2020,46
HUNTINGDON,42061,SC,256,249,7,1843,2092,7-10-2020,7-9-2020,39
INDIANA,42063,SW,121,113,8,3809,3922,7-10-2020,7-9-2020,106
JEFFERSON,42065,NW,37,31,6,1374,1405,7-10-2020,7-9-2020,37
JUNIATA,42067,SC,114,107,7,978,1085,7-10-2020,7-9-2020,15
LACKAWANNA,42069,NE,1753,1695,58,13375,15070,7-10-2020,7-9-2020,268
LANCASTER,42071,SE,4783,4681,102,34996,39677,7-10-2020,7-9-2020,862
LAWRENCE,42073,NW,159,135,24,3308,3443,7-10-2020,7-9-2020,167
LEBANON,42075,SC,1419,1362,57,9615,10977,7-10-2020,7-9-2020,252
LEHIGH,42077,NE,4391,4340,51,27855,32195,7-10-2020,7-9-2020,630
LUZERNE,42079,NE,2992,2936,56,22597,25533,7-10-2020,7-9-2020,666
LYCOMING,42081,NC,239,224,15,5276,5500,7-10-2020,7-9-2020,117
MCKEAN,42083,NW,20,12,8,2201,2213,7-10-2020,7-9-2020,53
MERCER,42085,NW,162,141,21,5027,5168,7-10-2020,7-9-2020,79
MIFFLIN,42087,SC,70,64,6,2892,2956,7-10-2020,7-9-2020,160
MONROE,42089,NE,1462,1419,43,11825,13244,7-10-2020,7-9-2020,260
MONTGOMERY,42091,SE,8790,8775,15,66512,75287,7-10-2020,7-9-2020,963
MONTOUR,42093,NC,77,69,8,4767,4836,7-10-2020,7-9-2020,44
NORTHAMPTON,42095,NE,3527,3417,110,26836,30253,7-10-2020,7-9-2020,530
NORTHUMBERLAND,42097,NC,342,308,34,4223,4531,7-10-2020,7-9-2020,80
PERRY,42099,SC,90,83,7,1917,2000,7-10-2020,7-9-2020,56
PHILADELPHIA,42101,SE,22735,22727,8,121625,144352,7-10-2020,7-9-2020,2062
PIKE,42103,NE,504,479,25,3356,3835,7-10-2020,7-9-2020,44
POTTER,42105,NC,17,14,3,347,361,7-10-2020,7-9-2020,9
SCHUYLKILL,42107,SE,769,740,29,9032,9772,7-10-2020,7-9-2020,172
SNYDER,42109,NC,72,61,11,1035,1096,7-10-2020,7-9-2020,12
SOMERSET,42111,SW,73,63,10,4099,4162,7-10-2020,7-9-2020,128
SULLIVAN,42113,NC,10,5,5,214,219,7-10-2020,7-9-2020,3
SUSQUEHANNA,42115,NE,192,186,6,2020,2206,7-10-2020,7-9-2020,38
TIOGA,42117,NC,27,21,6,1290,1311,7-10-2020,7-9-2020,13
UNION,42119,NC,97,88,9,2871,2959,7-10-2020,7-9-2020,38
VENANGO,42121,NW,34,20,14,1584,1604,7-10-2020,7-9-2020,113
WARREN,42123,NW,9,5,4,804,809,7-10-2020,7-9-2020,14
WASHINGTON,42125,SW,410,394,16,10104,10498,7-10-2020,7-9-2020,453
WAYNE,42127,NE,141,133,8,2765,2898,7-10-2020,7-9-2020,61
WESTMORELAND,42129,SW,952,926,26,21424,22350,7-10-2020,7-9-2020,532
WYOMING,42131,NE,42,40,2,1275,1315,7-10-2020,7-9-2020,38
YORK,42133,SC,1791,1749,42,25798,27547,7-10-2020,7-9-2020,1078
