County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,399,387,12,6396,6783,7-14-2020,7-13-2020,92
ALLEGHENY,42003,SW,5364,5170,194,78994,84164,7-14-2020,7-13-2020,4570
ARMSTRONG,42005,SW,88,88,0,2715,2803,7-14-2020,7-13-2020,29
BEAVER,42007,SW,870,843,27,8138,8981,7-14-2020,7-13-2020,84
BEDFORD,42009,SC,93,86,7,1989,2075,7-14-2020,7-13-2020,13
BERKS,42011,SE,4710,4552,158,22674,27226,7-14-2020,7-13-2020,218
BLAIR,42013,SC,107,96,11,7397,7493,7-14-2020,7-13-2020,95
BRADFORD,42015,NC,59,52,7,4087,4139,7-14-2020,7-13-2020,112
BUCKS,42017,SE,6137,5588,549,43740,49328,7-14-2020,7-13-2020,646
BUTLER,42019,SW,444,404,40,8928,9332,7-14-2020,7-13-2020,285
CAMBRIA,42021,SW,137,116,21,10675,10791,7-14-2020,7-13-2020,141
CAMERON,42023,NW,4,4,0,293,297,7-14-2020,7-13-2020,3
CARBON,42025,NE,301,297,4,4942,5239,7-14-2020,7-13-2020,59
CENTRE,42027,NC,253,231,22,5770,6001,7-14-2020,7-13-2020,68
CHESTER,42029,SE,4053,3836,217,33352,37188,7-14-2020,7-13-2020,818
CLARION,42031,NW,66,64,2,1341,1405,7-14-2020,7-13-2020,38
CLEARFIELD,42033,NW,95,73,22,2933,3006,7-14-2020,7-13-2020,59
CLINTON,42035,NC,96,84,12,1822,1906,7-14-2020,7-13-2020,19
COLUMBIA,42037,NC,421,397,24,3706,4103,7-14-2020,7-13-2020,21
CRAWFORD,42039,NW,80,63,17,3658,3721,7-14-2020,7-13-2020,53
CUMBERLAND,42041,SC,961,914,47,13884,14798,7-14-2020,7-13-2020,229
DAUPHIN,42043,SC,2309,2246,63,21214,23460,7-14-2020,7-13-2020,183
DELAWARE,42045,SE,7606,7378,228,44853,52231,7-14-2020,7-13-2020,1096
ELK,42047,NW,31,26,5,1370,1396,7-14-2020,7-13-2020,13
ERIE,42049,NW,740,630,110,13798,14428,7-14-2020,7-13-2020,276
FAYETTE,42051,SW,213,202,11,6266,6468,7-14-2020,7-13-2020,56
FOREST,42053,NW,7,5,2,323,328,7-14-2020,7-13-2020,3
FRANKLIN,42055,SC,1016,982,34,10014,10996,7-14-2020,7-13-2020,151
FULTON,42057,SC,19,17,2,592,609,7-14-2020,7-13-2020,8
GREENE,42059,SW,72,64,8,1793,1857,7-14-2020,7-13-2020,106
HUNTINGDON,42061,SC,260,253,7,1904,2157,7-14-2020,7-13-2020,7
INDIANA,42063,SW,169,157,12,3957,4114,7-14-2020,7-13-2020,60
JEFFERSON,42065,NW,41,34,7,1457,1491,7-14-2020,7-13-2020,46
JUNIATA,42067,SC,116,109,7,1064,1173,7-14-2020,7-13-2020,22
LACKAWANNA,42069,NE,1770,1711,59,14188,15899,7-14-2020,7-13-2020,174
LANCASTER,42071,SE,4876,4771,105,37266,42037,7-14-2020,7-13-2020,1035
LAWRENCE,42073,NW,200,175,25,3702,3877,7-14-2020,7-13-2020,60
LEBANON,42075,SC,1474,1413,61,10057,11470,7-14-2020,7-13-2020,156
LEHIGH,42077,NE,4450,4399,51,29392,33791,7-14-2020,7-13-2020,256
LUZERNE,42079,NE,3025,2966,59,23693,26659,7-14-2020,7-13-2020,275
LYCOMING,42081,NC,249,229,20,5544,5773,7-14-2020,7-13-2020,35
MCKEAN,42083,NW,20,12,8,2289,2301,7-14-2020,7-13-2020,3
MERCER,42085,NW,186,163,23,5574,5737,7-14-2020,7-13-2020,102
MIFFLIN,42087,SC,74,69,5,3075,3144,7-14-2020,7-13-2020,39
MONROE,42089,NE,1474,1431,43,12375,13806,7-14-2020,7-13-2020,95
MONTGOMERY,42091,SE,8907,8892,15,68973,77865,7-14-2020,7-13-2020,573
MONTOUR,42093,NC,80,71,9,4961,5032,7-14-2020,7-13-2020,8
NORTHAMPTON,42095,NE,3558,3445,113,27941,31386,7-14-2020,7-13-2020,242
NORTHUMBERLAND,42097,NC,351,317,34,4488,4805,7-14-2020,7-13-2020,89
PERRY,42099,SC,95,87,8,2006,2093,7-14-2020,7-13-2020,24
PHILADELPHIA,42101,SE,23128,23120,8,125649,148769,7-14-2020,7-13-2020,1572
PIKE,42103,NE,507,482,25,3494,3976,7-14-2020,7-13-2020,35
POTTER,42105,NC,18,15,3,384,399,7-14-2020,7-13-2020,12
SCHUYLKILL,42107,SE,779,751,28,9434,10185,7-14-2020,7-13-2020,101
SNYDER,42109,NC,74,63,11,1091,1154,7-14-2020,7-13-2020,17
SOMERSET,42111,SW,84,74,10,4356,4430,7-14-2020,7-13-2020,57
SULLIVAN,42113,NC,10,5,5,222,227,7-14-2020,7-13-2020,2
SUSQUEHANNA,42115,NE,195,188,7,2103,2291,7-14-2020,7-13-2020,25
TIOGA,42117,NC,30,24,6,1563,1587,7-14-2020,7-13-2020,53
UNION,42119,NC,105,93,12,3326,3419,7-14-2020,7-13-2020,188
VENANGO,42121,NW,46,32,14,1849,1881,7-14-2020,7-13-2020,26
WARREN,42123,NW,10,5,5,848,853,7-14-2020,7-13-2020,9
WASHINGTON,42125,SW,465,447,18,10974,11421,7-14-2020,7-13-2020,169
WAYNE,42127,NE,141,134,7,2898,3032,7-14-2020,7-13-2020,31
WESTMORELAND,42129,SW,1033,1004,29,22606,23610,7-14-2020,7-13-2020,306
WYOMING,42131,NE,48,45,3,1344,1389,7-14-2020,7-13-2020,20
YORK,42133,SC,1872,1825,47,26908,28733,7-14-2020,7-13-2020,303
