County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
GREENE,42059,SW,70,62,8,1689,1751,7-13-2020,7-11-2020,99
HUNTINGDON,42061,SC,260,253,7,1897,2150,7-13-2020,7-11-2020,28
INDIANA,42063,SW,156,146,10,3908,4054,7-13-2020,7-11-2020,91
JEFFERSON,42065,NW,39,32,7,1413,1445,7-13-2020,7-11-2020,19
JUNIATA,42067,SC,116,109,7,1042,1151,7-13-2020,7-11-2020,41
LACKAWANNA,42069,NE,1764,1705,59,14020,15725,7-13-2020,7-11-2020,436
LANCASTER,42071,SE,4851,4747,104,36255,41002,7-13-2020,7-11-2020,944
LAWRENCE,42073,NW,197,172,25,3645,3817,7-13-2020,7-11-2020,192
LEBANON,42075,SC,1448,1388,60,9926,11314,7-13-2020,7-11-2020,210
LEHIGH,42077,NE,4439,4388,51,29147,33535,7-13-2020,7-11-2020,583
LUZERNE,42079,NE,3024,2967,57,23417,26384,7-13-2020,7-11-2020,490
LYCOMING,42081,NC,247,229,18,5509,5738,7-13-2020,7-11-2020,169
MCKEAN,42083,NW,20,12,8,2286,2298,7-13-2020,7-11-2020,70
MERCER,42085,NW,175,152,23,5483,5635,7-13-2020,7-11-2020,307
MIFFLIN,42087,SC,74,69,5,3036,3105,7-13-2020,7-11-2020,64
MONROE,42089,NE,1473,1430,43,12281,13711,7-13-2020,7-11-2020,265
MONTGOMERY,42091,SE,8876,8861,15,68431,77292,7-13-2020,7-11-2020,1090
MONTOUR,42093,NC,79,71,8,4953,5024,7-13-2020,7-11-2020,118
NORTHAMPTON,42095,NE,3555,3443,112,27701,31144,7-13-2020,7-11-2020,455
NORTHUMBERLAND,42097,NC,346,312,34,4404,4716,7-13-2020,7-11-2020,88
PERRY,42099,SC,94,87,7,1982,2069,7-13-2020,7-11-2020,43
PHILADELPHIA,42101,SE,22987,22979,8,124218,147197,7-13-2020,7-11-2020,1414
PIKE,42103,NE,505,480,25,3461,3941,7-13-2020,7-11-2020,63
POTTER,42105,NC,18,15,3,372,387,7-13-2020,7-11-2020,17
SCHUYLKILL,42107,SE,776,748,28,9336,10084,7-13-2020,7-11-2020,159
SNYDER,42109,NC,72,61,11,1076,1137,7-13-2020,7-11-2020,26
SOMERSET,42111,SW,81,71,10,4302,4373,7-13-2020,7-11-2020,157
SULLIVAN,42113,NC,10,5,5,220,225,7-13-2020,7-11-2020,5
SUSQUEHANNA,42115,NE,196,189,7,2077,2266,7-13-2020,7-11-2020,31
TIOGA,42117,NC,29,23,6,1511,1534,7-13-2020,7-11-2020,170
UNION,42119,NC,100,90,10,3141,3231,7-13-2020,7-11-2020,175
VENANGO,42121,NW,38,25,13,1830,1855,7-13-2020,7-11-2020,210
WARREN,42123,NW,10,5,5,839,844,7-13-2020,7-11-2020,24
WASHINGTON,42125,SW,454,437,17,10815,11252,7-13-2020,7-11-2020,423
WAYNE,42127,NE,141,134,7,2867,3001,7-13-2020,7-11-2020,57
WESTMORELAND,42129,SW,1010,982,28,22322,23304,7-13-2020,7-11-2020,569
WYOMING,42131,NE,47,44,3,1325,1369,7-13-2020,7-11-2020,29
YORK,42133,SC,1858,1811,47,26619,28430,7-13-2020,7-11-2020,557
