County,Fips,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR,Est_Tot_Tests,Date,Last Date,Change From Last Date
ADAMS,42001,SC,398,386,12,6305,6691,7-13-2020,7-11-2020,180
ALLEGHENY,42003,SW,5033,4842,191,74752,79594,7-13-2020,7-11-2020,2706
ARMSTRONG,42005,SW,86,86,0,2688,2774,7-13-2020,7-11-2020,80
BEAVER,42007,SW,845,820,25,8077,8897,7-13-2020,7-11-2020,323
BEDFORD,42009,SC,92,85,7,1977,2062,7-13-2020,7-11-2020,52
BERKS,42011,SE,4700,4542,158,22466,27008,7-13-2020,7-11-2020,417
BLAIR,42013,SC,105,94,11,7304,7398,7-13-2020,7-11-2020,302
BRADFORD,42015,NC,59,52,7,3975,4027,7-13-2020,7-11-2020,24
BUCKS,42017,SE,6105,5559,546,43123,48682,7-13-2020,7-11-2020,688
BUTLER,42019,SW,429,389,40,8658,9047,7-13-2020,7-11-2020,309
CAMBRIA,42021,SW,137,116,21,10534,10650,7-13-2020,7-11-2020,414
CAMERON,42023,NW,4,4,0,290,294,7-13-2020,7-11-2020,2
CARBON,42025,NE,299,295,4,4885,5180,7-13-2020,7-11-2020,112
CENTRE,42027,NC,251,229,22,5704,5933,7-13-2020,7-11-2020,132
CHESTER,42029,SE,4016,3801,215,32569,36370,7-13-2020,7-11-2020,706
CLARION,42031,NW,63,59,4,1308,1367,7-13-2020,7-11-2020,139
CLEARFIELD,42033,NW,93,72,21,2875,2947,7-13-2020,7-11-2020,51
CLINTON,42035,NC,96,84,12,1803,1887,7-13-2020,7-11-2020,49
COLUMBIA,42037,NC,420,396,24,3686,4082,7-13-2020,7-11-2020,73
CRAWFORD,42039,NW,78,61,17,3607,3668,7-13-2020,7-11-2020,108
CUMBERLAND,42041,SC,951,906,45,13663,14569,7-13-2020,7-11-2020,231
DAUPHIN,42043,SC,2296,2234,62,21043,23277,7-13-2020,7-11-2020,372
DELAWARE,42045,SE,7569,7341,228,43794,51135,7-13-2020,7-11-2020,921
ELK,42047,NW,30,26,4,1357,1383,7-13-2020,7-11-2020,19
ERIE,42049,NW,718,612,106,13540,14152,7-13-2020,7-11-2020,349
FAYETTE,42051,SW,202,193,9,6219,6412,7-13-2020,7-11-2020,199
FOREST,42053,NW,7,5,2,320,325,7-13-2020,7-11-2020,3
FRANKLIN,42055,SC,1006,975,31,9870,10845,7-13-2020,7-11-2020,255
FULTON,42057,SC,19,17,2,584,601,7-13-2020,7-11-2020,8
