modelname,fips,weekahead,prob,score,trainingweek
theScienceDogs,42011,2,0.007791107,-4.854772317,202020
theScienceDogs,42011,3,0.006816101,-4.988467683,202020
theScienceDogs,42011,4,0.008510191,-4.766490867,202020
theScienceDogs,42009,1,0.691352356,-0.369105664,202020
theScienceDogs,42009,2,0.257890152,-1.355221552,202020
theScienceDogs,42009,3,0.76364653,-0.269650254,202020
theScienceDogs,42009,4,0.778334646,-0.250598711,202020
theScienceDogs,42007,1,0.081961177,-2.501509591,202020
theScienceDogs,42007,2,0.064441838,-2.741992196,202020
theScienceDogs,42007,3,0.061634561,-2.786532514,202020
theScienceDogs,42007,4,0.033174304,-3.405979685,202020
theScienceDogs,42005,1,0.724153179,-0.322752335,202020
theScienceDogs,42005,2,0.625290131,-0.469539528,202020
theScienceDogs,42005,3,0.571516427,-0.559462052,202020
theScienceDogs,42005,4,0.543342844,-0.610014771,202020
theScienceDogs,42033,1,0.86256,-0.147850567,202020
theScienceDogs,42033,2,0.0228,-3.780994743,202020
theScienceDogs,42033,3,0.579631593,-0.545362562,202020
theScienceDogs,42033,4,0.495019602,-0.703157918,202020
theScienceDogs,42067,1,0.222174101,-1.504293964,202020
theScienceDogs,42067,2,0.223341017,-1.499055453,202020
theScienceDogs,42067,3,0.224902298,-1.492089204,202020
theScienceDogs,42067,4,0.224434321,-1.494172172,202020
theScienceDogs,42069,1,0.037525254,-3.282741145,202020
theScienceDogs,42069,2,0.030914167,-3.476540705,202020
theScienceDogs,42069,3,0.01173068,-4.445547666,202020
theScienceDogs,42069,4,0.00730657,-4.918981364,202020
theScienceDogs,42131,2,0.774394947,-0.255673268,202020
theScienceDogs,42131,3,0.796498199,-0.22753041,202020
theScienceDogs,42131,4,0.804514116,-0.217516766,202020
theScienceDogs,42129,1,0.088243547,-2.427654712,202020
theScienceDogs,42129,2,0.083306945,-2.485223364,202020
theScienceDogs,42129,3,0.074117937,-2.602097707,202020
theScienceDogs,42129,4,0.073957203,-2.604268685,202020
theScienceDogs,42127,2,0.238818363,-1.432052005,202020
theScienceDogs,42127,3,0.160884201,-1.827070421,202020
theScienceDogs,42127,4,0.165178571,-1.800728139,202020
theScienceDogs,42125,1,0.39780811,-0.921785527,202020
theScienceDogs,42125,2,0.337184216,-1.087125863,202020
theScienceDogs,42125,3,0.237206361,-1.438824795,202020
theScienceDogs,42125,4,0.290770168,-1.235222124,202020
theScienceDogs,42123,1,,,202020
theScienceDogs,42123,2,,,202020
theScienceDogs,42123,3,,,202020
theScienceDogs,42123,4,,,202020
theScienceDogs,42121,1,,,202020
theScienceDogs,42121,2,,,202020
theScienceDogs,42121,3,,,202020
theScienceDogs,42121,4,,,202020
theScienceDogs,42119,1,0.220166583,-1.513370826,202020
theScienceDogs,42119,2,0.286833571,-1.248853123,202020
theScienceDogs,42119,3,0.308689777,-1.175418464,202020
theScienceDogs,42119,4,0.030746592,-3.48197611,202020
theScienceDogs,42117,1,0.977837576,-0.0224117,202020
theScienceDogs,42117,2,0.966871911,-0.033689253,202020
theScienceDogs,42117,3,0.963545103,-0.037135981,202020
theScienceDogs,42117,4,0.964412,-0.03623669,202020
theScienceDogs,42115,1,0.492468947,-0.708323872,202020
theScienceDogs,42115,2,0.187892106,-1.671887383,202020
theScienceDogs,42115,3,0.206734586,-1.576319502,202020
theScienceDogs,42115,4,0.054089084,-2.917122885,202020
theScienceDogs,42113,1,,,202020
theScienceDogs,42113,2,,,202020
theScienceDogs,42113,3,,,202020
theScienceDogs,42113,4,,,202020
theScienceDogs,42111,1,0.907710689,-0.096829575,202020
theScienceDogs,42111,2,0.147232164,-1.915744592,202020
theScienceDogs,42111,3,0.826407477,-0.190667313,202020
theScienceDogs,42111,4,0.815001001,-0.204565938,202020
theScienceDogs,42109,1,0.96900374,-0.031486808,202020
theScienceDogs,42109,2,0.104047164,-2.262910985,202020
theScienceDogs,42109,3,0.84456621,-0.168932144,202020
theScienceDogs,42109,4,0.004903988,-5.31770649,202020
theScienceDogs,42107,1,0.043191566,-3.142110031,202020
theScienceDogs,42107,2,0.076555608,-2.569737907,202020
theScienceDogs,42107,3,0.073077161,-2.616239395,202020
theScienceDogs,42107,4,0.056889854,-2.866638263,202020
theScienceDogs,42105,1,,,202020
theScienceDogs,42105,2,,,202020
theScienceDogs,42105,3,,,202020
theScienceDogs,42105,4,,,202020
theScienceDogs,42103,1,0.10681208,-2.236684252,202020
theScienceDogs,42103,2,0.06871345,-2.677810316,202020
theScienceDogs,42103,3,0.041582965,-3.18006469,202020
theScienceDogs,42103,4,0.046147247,-3.075917979,202020
theScienceDogs,42099,1,0.128182164,-2.054302874,202020
theScienceDogs,42099,2,0.19104973,-1.65522152,202020
theScienceDogs,42099,3,0.00637866,-5.05479716,202020
theScienceDogs,42099,4,0.006668403,-5.010374844,202020
theScienceDogs,42071,1,0.02787289,-3.580100747,202020
theScienceDogs,42071,2,0.020754832,-3.874976179,202020
theScienceDogs,42071,3,0.016259312,-4.119089491,202020
theScienceDogs,42071,4,0.01632952,-4.114780752,202020
theScienceDogs,42073,1,0.443307379,-0.813491893,202020
theScienceDogs,42073,2,0.386059744,-0.951763144,202020
theScienceDogs,42073,3,0.354200774,-1.037891367,202020
theScienceDogs,42073,4,0.355474035,-1.034303071,202020
theScienceDogs,42075,1,0.042166734,-3.166123668,202020
theScienceDogs,42075,2,0.017952691,-4.020015268,202020
theScienceDogs,42075,3,0.031197124,-3.467429383,202020
theScienceDogs,42075,4,0.032289922,-3.433000101,202020
theScienceDogs,42077,1,0.013153292,-4.331083223,202020
theScienceDogs,42077,2,0.011464867,-4.468467926,202020
theScienceDogs,42077,3,0.009566147,-4.649524757,202020
