FIPS,Province_State,date,deaths
42001,Pennsylvania,2020-06-09,9
42001,Pennsylvania,2020-06-10,9
42001,Pennsylvania,2020-06-11,9
42001,Pennsylvania,2020-06-12,9
42001,Pennsylvania,2020-06-13,9
42001,Pennsylvania,2020-06-14,9
42001,Pennsylvania,2020-06-15,9
42001,Pennsylvania,2020-06-16,10
42001,Pennsylvania,2020-06-17,10
42003,Pennsylvania,2020-01-22,0
42003,Pennsylvania,2020-01-23,0
42003,Pennsylvania,2020-01-24,0
42003,Pennsylvania,2020-01-25,0
42003,Pennsylvania,2020-01-26,0
42003,Pennsylvania,2020-01-27,0
42003,Pennsylvania,2020-01-28,0
42003,Pennsylvania,2020-01-29,0
42003,Pennsylvania,2020-01-30,0
42003,Pennsylvania,2020-01-31,0
42003,Pennsylvania,2020-02-01,0
42003,Pennsylvania,2020-02-02,0
42003,Pennsylvania,2020-02-03,0
42003,Pennsylvania,2020-02-04,0
42003,Pennsylvania,2020-02-05,0
42003,Pennsylvania,2020-02-06,0
42003,Pennsylvania,2020-02-07,0
42003,Pennsylvania,2020-02-08,0
42003,Pennsylvania,2020-02-09,0
42003,Pennsylvania,2020-02-10,0
42003,Pennsylvania,2020-02-11,0
42003,Pennsylvania,2020-02-12,0
42003,Pennsylvania,2020-02-13,0
42003,Pennsylvania,2020-02-14,0
42003,Pennsylvania,2020-02-15,0
42003,Pennsylvania,2020-02-16,0
42003,Pennsylvania,2020-02-17,0
42003,Pennsylvania,2020-02-18,0
42003,Pennsylvania,2020-02-19,0
42003,Pennsylvania,2020-02-20,0
42003,Pennsylvania,2020-02-21,0
42003,Pennsylvania,2020-02-22,0
42003,Pennsylvania,2020-02-23,0
42003,Pennsylvania,2020-02-24,0
42003,Pennsylvania,2020-02-25,0
42003,Pennsylvania,2020-02-26,0
42003,Pennsylvania,2020-02-27,0
42003,Pennsylvania,2020-02-28,0
42003,Pennsylvania,2020-02-29,0
42003,Pennsylvania,2020-03-01,0
42003,Pennsylvania,2020-03-02,0
42003,Pennsylvania,2020-03-03,0
42003,Pennsylvania,2020-03-04,0
42003,Pennsylvania,2020-03-05,0
42003,Pennsylvania,2020-03-06,0
42003,Pennsylvania,2020-03-07,0
42003,Pennsylvania,2020-03-08,0
42003,Pennsylvania,2020-03-09,0
42003,Pennsylvania,2020-03-10,0
42003,Pennsylvania,2020-03-11,0
42003,Pennsylvania,2020-03-12,0
42003,Pennsylvania,2020-03-13,0
42003,Pennsylvania,2020-03-14,0
42003,Pennsylvania,2020-03-15,0
42003,Pennsylvania,2020-03-16,0
42003,Pennsylvania,2020-03-17,0
42003,Pennsylvania,2020-03-18,0
42003,Pennsylvania,2020-03-19,0
42003,Pennsylvania,2020-03-20,0
42003,Pennsylvania,2020-03-21,1
42003,Pennsylvania,2020-03-22,1
42003,Pennsylvania,2020-03-23,1
42003,Pennsylvania,2020-03-24,2
42003,Pennsylvania,2020-03-25,2
42003,Pennsylvania,2020-03-26,2
42003,Pennsylvania,2020-03-27,2
42003,Pennsylvania,2020-03-28,2
42003,Pennsylvania,2020-03-29,2
42003,Pennsylvania,2020-03-30,2
42003,Pennsylvania,2020-03-31,2
42003,Pennsylvania,2020-04-01,2
42003,Pennsylvania,2020-04-02,2
42003,Pennsylvania,2020-04-03,2
42003,Pennsylvania,2020-04-04,3
42003,Pennsylvania,2020-04-05,4
42003,Pennsylvania,2020-04-06,4
42003,Pennsylvania,2020-04-07,6
42003,Pennsylvania,2020-04-08,10
42003,Pennsylvania,2020-04-09,12
42003,Pennsylvania,2020-04-10,18
42003,Pennsylvania,2020-04-11,19
42003,Pennsylvania,2020-04-12,19
42003,Pennsylvania,2020-04-13,21
42003,Pennsylvania,2020-04-14,24
42003,Pennsylvania,2020-04-15,26
42003,Pennsylvania,2020-04-16,38
42003,Pennsylvania,2020-04-17,43
42003,Pennsylvania,2020-04-18,47
42003,Pennsylvania,2020-04-19,50
42003,Pennsylvania,2020-04-20,55
42003,Pennsylvania,2020-04-21,67
42003,Pennsylvania,2020-04-22,74
42003,Pennsylvania,2020-04-23,74
42003,Pennsylvania,2020-04-24,74
42003,Pennsylvania,2020-04-25,73
42003,Pennsylvania,2020-04-26,73
42003,Pennsylvania,2020-04-27,79
42003,Pennsylvania,2020-04-28,87
42003,Pennsylvania,2020-04-29,86
42003,Pennsylvania,2020-04-30,94
42003,Pennsylvania,2020-05-01,99
42003,Pennsylvania,2020-05-02,102
42003,Pennsylvania,2020-05-03,102
42003,Pennsylvania,2020-05-04,102
42003,Pennsylvania,2020-05-05,109
42003,Pennsylvania,2020-05-06,111
42003,Pennsylvania,2020-05-07,117
42003,Pennsylvania,2020-05-08,119
42003,Pennsylvania,2020-05-09,120
42003,Pennsylvania,2020-05-10,122
42003,Pennsylvania,2020-05-11,123
42003,Pennsylvania,2020-05-12,127
42003,Pennsylvania,2020-05-13,139
42003,Pennsylvania,2020-05-14,139
42003,Pennsylvania,2020-05-15,141
42003,Pennsylvania,2020-05-16,143
42003,Pennsylvania,2020-05-17,143
42003,Pennsylvania,2020-05-18,143
42003,Pennsylvania,2020-05-19,145
42003,Pennsylvania,2020-05-20,147
42003,Pennsylvania,2020-05-21,148
42003,Pennsylvania,2020-05-22,154
42003,Pennsylvania,2020-05-23,158
42003,Pennsylvania,2020-05-24,159
42003,Pennsylvania,2020-05-25,160
42003,Pennsylvania,2020-05-26,160
42003,Pennsylvania,2020-05-27,160
42003,Pennsylvania,2020-05-28,161
42003,Pennsylvania,2020-05-29,162
42003,Pennsylvania,2020-05-30,163
42003,Pennsylvania,2020-05-31,163
42003,Pennsylvania,2020-06-01,164
42003,Pennsylvania,2020-06-02,165
42003,Pennsylvania,2020-06-03,166
42003,Pennsylvania,2020-06-04,166
42003,Pennsylvania,2020-06-05,168
42003,Pennsylvania,2020-06-06,168
42003,Pennsylvania,2020-06-07,168
42003,Pennsylvania,2020-06-08,169
42003,Pennsylvania,2020-06-09,169
42003,Pennsylvania,2020-06-10,170
42003,Pennsylvania,2020-06-11,171
42003,Pennsylvania,2020-06-12,171
42003,Pennsylvania,2020-06-13,172
42003,Pennsylvania,2020-06-14,172
42003,Pennsylvania,2020-06-15,174
42003,Pennsylvania,2020-06-16,177
42003,Pennsylvania,2020-06-17,177
42005,Pennsylvania,2020-01-22,0
42005,Pennsylvania,2020-01-23,0
42005,Pennsylvania,2020-01-24,0
42005,Pennsylvania,2020-01-25,0
42005,Pennsylvania,2020-01-26,0
42005,Pennsylvania,2020-01-27,0
42005,Pennsylvania,2020-01-28,0
42005,Pennsylvania,2020-01-29,0
42005,Pennsylvania,2020-01-30,0
42005,Pennsylvania,2020-01-31,0
42005,Pennsylvania,2020-02-01,0
42005,Pennsylvania,2020-02-02,0
42005,Pennsylvania,2020-02-03,0
42005,Pennsylvania,2020-02-04,0
42005,Pennsylvania,2020-02-05,0
42005,Pennsylvania,2020-02-06,0
42005,Pennsylvania,2020-02-07,0
42005,Pennsylvania,2020-02-08,0
42005,Pennsylvania,2020-02-09,0
42005,Pennsylvania,2020-02-10,0
42005,Pennsylvania,2020-02-11,0
