County,date,numnewpos,fips,region
Adams,2020-03-05,0.0,42001,pa
Adams,2020-03-06,0.0,42001,pa
Adams,2020-03-07,0.0,42001,pa
Adams,2020-03-08,0.0,42001,pa
Adams,2020-03-09,0.0,42001,pa
Adams,2020-03-10,0.0,42001,pa
Adams,2020-03-11,0.0,42001,pa
Adams,2020-03-12,0.0,42001,pa
Adams,2020-03-13,0.0,42001,pa
Adams,2020-03-14,0.0,42001,pa
Adams,2020-03-15,0.0,42001,pa
Adams,2020-03-16,0.0,42001,pa
Adams,2020-03-17,0.0,42001,pa
Adams,2020-03-18,0.0,42001,pa
Adams,2020-03-19,1.0,42001,pa
Adams,2020-03-20,3.0,42001,pa
Adams,2020-03-21,0.0,42001,pa
Adams,2020-03-22,1.0,42001,pa
Adams,2020-03-23,1.0,42001,pa
Adams,2020-03-24,0.0,42001,pa
Adams,2020-03-25,0.0,42001,pa
Adams,2020-03-26,1.0,42001,pa
Adams,2020-03-27,1.0,42001,pa
Adams,2020-03-28,0.0,42001,pa
Adams,2020-03-29,0.0,42001,pa
Adams,2020-03-30,0.0,42001,pa
Adams,2020-03-31,1.0,42001,pa
Adams,2020-04-01,3.0,42001,pa
Adams,2020-04-02,6.0,42001,pa
Adams,2020-04-03,1.0,42001,pa
Adams,2020-04-04,2.0,42001,pa
Adams,2020-04-05,1.0,42001,pa
Adams,2020-04-06,3.0,42001,pa
Adams,2020-04-07,3.0,42001,pa
Adams,2020-04-08,5.0,42001,pa
Adams,2020-04-09,5.0,42001,pa
Adams,2020-04-10,5.0,42001,pa
Adams,2020-04-11,1.0,42001,pa
Adams,2020-04-12,4.0,42001,pa
Adams,2020-04-13,8.0,42001,pa
Adams,2020-04-14,7.0,42001,pa
Adams,2020-04-15,1.0,42001,pa
Adams,2020-04-16,3.0,42001,pa
Adams,2020-04-17,3.0,42001,pa
Adams,2020-04-18,4.0,42001,pa
Adams,2020-04-19,6.0,42001,pa
Adams,2020-04-20,5.0,42001,pa
Adams,2020-04-21,6.0,42001,pa
Adams,2020-04-22,1.0,42001,pa
Adams,2020-04-23,3.0,42001,pa
