,epiweek,modelweek,region,fips,jhucsse__numnewpos,covidtracker__numnewpos,covidtracker__numnewneg,covidtracker__numnewtest,cdcili__num_patients,cdcili__num_providers,cdcili__wili,cdcili__ili,dohweb__numnewpos
24,202004,2611,pa,42049.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
23,202004,2611,pa,42047.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
22,202004,2611,pa,42045.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
21,202004,2611,pa,42043.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
20,202004,2611,pa,42041.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
19,202004,2611,pa,42039.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
18,202004,2611,pa,42037.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
32,202004,2611,pa,42065.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
17,202004,2611,pa,42035.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
15,202004,2611,pa,42031.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
14,202004,2611,pa,42029.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
13,202004,2611,pa,42027.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
12,202004,2611,pa,42025.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
11,202004,2611,pa,42023.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
10,202004,2611,pa,42021.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
9,202004,2611,pa,42019.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
8,202004,2611,pa,42017.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
7,202004,2611,pa,42015.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
6,202004,2611,pa,42013.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
5,202004,2611,pa,42011.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
4,202004,2611,pa,42009.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
3,202004,2611,pa,42007.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
2,202004,2611,pa,42005.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
16,202004,2611,pa,42033.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
33,202004,2611,pa,42067.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
67,202004,2611,pa,80042.0,0.0,,,,50861.0,122.0,4.09744,4.09744,
