FIPS,Province_State,date,count
42001,Pennsylvania,2020-06-09,275
42001,Pennsylvania,2020-06-10,278
42001,Pennsylvania,2020-06-11,279
42001,Pennsylvania,2020-06-12,284
42001,Pennsylvania,2020-06-13,289
42001,Pennsylvania,2020-06-14,290
42003,Pennsylvania,2020-01-22,0
42003,Pennsylvania,2020-01-23,0
42003,Pennsylvania,2020-01-24,0
42003,Pennsylvania,2020-01-25,0
42003,Pennsylvania,2020-01-26,0
42003,Pennsylvania,2020-01-27,0
42003,Pennsylvania,2020-01-28,0
42003,Pennsylvania,2020-01-29,0
42003,Pennsylvania,2020-01-30,0
42003,Pennsylvania,2020-01-31,0
42003,Pennsylvania,2020-02-01,0
42003,Pennsylvania,2020-02-02,0
42003,Pennsylvania,2020-02-03,0
42003,Pennsylvania,2020-02-04,0
42003,Pennsylvania,2020-02-05,0
42003,Pennsylvania,2020-02-06,0
42003,Pennsylvania,2020-02-07,0
42003,Pennsylvania,2020-02-08,0
42003,Pennsylvania,2020-02-09,0
42003,Pennsylvania,2020-02-10,0
42003,Pennsylvania,2020-02-11,0
42003,Pennsylvania,2020-02-12,0
42003,Pennsylvania,2020-02-13,0
42003,Pennsylvania,2020-02-14,0
42003,Pennsylvania,2020-02-15,0
42003,Pennsylvania,2020-02-16,0
42003,Pennsylvania,2020-02-17,0
42003,Pennsylvania,2020-02-18,0
42003,Pennsylvania,2020-02-19,0
42003,Pennsylvania,2020-02-20,0
42003,Pennsylvania,2020-02-21,0
42003,Pennsylvania,2020-02-22,0
42003,Pennsylvania,2020-02-23,0
42003,Pennsylvania,2020-02-24,0
42003,Pennsylvania,2020-02-25,0
42003,Pennsylvania,2020-02-26,0
42003,Pennsylvania,2020-02-27,0
42003,Pennsylvania,2020-02-28,0
42003,Pennsylvania,2020-02-29,0
42003,Pennsylvania,2020-03-01,0
42003,Pennsylvania,2020-03-02,0
42003,Pennsylvania,2020-03-03,0
42003,Pennsylvania,2020-03-04,0
42003,Pennsylvania,2020-03-05,0
42003,Pennsylvania,2020-03-06,0
42003,Pennsylvania,2020-03-07,0
42003,Pennsylvania,2020-03-08,0
42003,Pennsylvania,2020-03-09,0
42003,Pennsylvania,2020-03-10,0
42003,Pennsylvania,2020-03-11,0
42003,Pennsylvania,2020-03-12,0
42003,Pennsylvania,2020-03-13,0
42003,Pennsylvania,2020-03-14,2
42003,Pennsylvania,2020-03-15,2
42003,Pennsylvania,2020-03-16,6
42003,Pennsylvania,2020-03-17,10
42003,Pennsylvania,2020-03-18,13
42003,Pennsylvania,2020-03-19,18
42003,Pennsylvania,2020-03-20,28
42003,Pennsylvania,2020-03-21,31
42003,Pennsylvania,2020-03-22,40
42003,Pennsylvania,2020-03-23,48
42003,Pennsylvania,2020-03-24,58
42003,Pennsylvania,2020-03-25,88
42003,Pennsylvania,2020-03-26,133
42003,Pennsylvania,2020-03-27,158
42003,Pennsylvania,2020-03-28,219
42003,Pennsylvania,2020-03-29,265
42003,Pennsylvania,2020-03-30,290
42003,Pennsylvania,2020-03-31,325
42003,Pennsylvania,2020-04-01,356
42003,Pennsylvania,2020-04-02,419
42003,Pennsylvania,2020-04-03,476
42003,Pennsylvania,2020-04-04,552
42003,Pennsylvania,2020-04-05,605
42003,Pennsylvania,2020-04-06,642
42003,Pennsylvania,2020-04-07,689
42003,Pennsylvania,2020-04-08,720
